,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
55,07/03/2023 23:22:07,@YahooFinance,Yahoo Finance,Walgreens (WBA) is facing significant backlash after responding to a letter from 20 Attorneys General telling them that it does not intend to dispense abortion pills in states where it is illegal. https://t.co/DxAbvpoAAB,https://twitter.com/YahooFinance/status/1633246682392723456,SocialFlow,New,1,4
56,07/03/2023 23:00:00,@YahooFinance,Yahoo Finance,"A hard landing ""would create much more labor market pain” @fsinvestments Troy Gayeski says. “It's really a great time to be a worker..."" Full comments: https://t.co/9OcLWJAilF",https://twitter.com/YahooFinance/status/1633241115540201473,Twitter Media Studio - LiveCut,New,0,4
57,07/03/2023 22:13:23,@YahooFinance,Yahoo Finance,Fed's Powell pressed on banking climate crypto regulations during Senate testimony https://t.co/5RLqfvjU3d by @Jenniferisms,https://twitter.com/YahooFinance/status/1633229385036881921,SocialFlow,New,4,13
58,07/03/2023 22:05:10,@YahooFinance,Yahoo Finance,"""The speculation is that the rights deal will be at least 100% if not 200% higher ... [than] the current package"" Bank of America Senior Media &amp; Entertainment Analyst Jessica Reif Ehrlich says on the media battle for NBA rights. ""These are incredibly attractive rights."" https://t.co/u7XpRJBDCd",https://twitter.com/YahooFinance/status/1633227314916995072,Twitter Media Studio - LiveCut,New,1,2
59,07/03/2023 21:57:00,@YahooFinance,Yahoo Finance,"Hollywood ""lost its way with the Oscars"" IMAX CEO Richard Gelfond says. “This year's movies are a lot more like old fashioned movies — big special effects big stars. … If the Oscars want to remain relevant they needed to move back in that direction.” https://t.co/CUWbbRFA4i",https://twitter.com/YahooFinance/status/1633225260622389248,Twitter Media Studio - LiveCut,New,1,7
60,07/03/2023 21:48:36,@YahooFinance,Yahoo Finance,“I would expect today's price action to be somewhat more in line with what we could eventually see… from the courts approving the [JetBlue-Spirit Airlines] merger with conditions” @Citi's Steve Trent says. “Logically today's stock price reaction made more sense to me.” https://t.co/2XKtE7c85l,https://twitter.com/YahooFinance/status/1633223147536236544,Twitter Media Studio - LiveCut,New,1,4
61,07/03/2023 21:37:40,@YahooFinance,Yahoo Finance,Housing confidence craters once more as mortgage rates spike https://t.co/vmzfUpjngH by @__gabriellacruz,https://twitter.com/YahooFinance/status/1633220393963241474,SocialFlow,New,1,5
62,07/03/2023 21:22:04,@YahooFinance,Yahoo Finance,$AAPL announces a bright yellow iPhone 14 in an effort to drive sales. @SeanaNSmith and @DaveBriggsTV report: https://t.co/v4rdtWC457,https://twitter.com/YahooFinance/status/1633216467339468805,Twitter Media Studio - LiveCut,New,4,17
63,07/03/2023 21:18:16,@YahooFinance,Yahoo Finance,Fed Chair Powell's Capitol Hill commentary sends markets into a frenzy. @Jenniferisms explains: https://t.co/eG5lLT2HsJ,https://twitter.com/YahooFinance/status/1633215512296452101,Twitter Media Studio - LiveCut,New,5,15
64,07/03/2023 21:17:07,@YahooFinance,Yahoo Finance,“Clearly it's been rising” Evercore ISI Head of Internet Research Mark Mahaney says on the likelihood of a TikTok ban. “An issue like this is material for Snapchat for Meta and for Alphabet. Even if it doesn't get banned… it's going to be an issue for advertisers.” https://t.co/mr8ovjiJ99,https://twitter.com/YahooFinance/status/1633215221148925952,Twitter Media Studio - LiveCut,New,0,8
